;StartNode;EndNode;Class;Rank;Weight
0;agi/;agi/ii of;gene;0;1
1;agi/;antigen i/ii;gene;0;1
2;agi/;c(123)(pas);gene;0;1
3;agi/;c. albicans;gene;0;2
4;agi/;candida albicans;gene;0;2
5;agi/;cftr;gene;0;1
6;agi/;cysteine;gene;0;1
7;agi/;cystic fibrosis;gene;0;1
8;agi/;cystic fibrosis lungs;gene;0;1
9;agi/;dev-igg domains;gene;0;1
10;agi/;fibrinogen;gene;0;2
11;agi/;frd1;gene;0;1
12;agi/;gp340;gene;0;1
13;agi/;lung alveolar glycoprotein 340;gene;0;1
14;agi/;lung alveolar protein gp340;gene;0;1
15;agi/;p. aeruginosa;gene;0;2
16;agi/;pas;gene;0;2
17;agi/;patients;gene;0;1
18;agi/;pseudomonas aeruginosa;gene;0;2
19;agi/;purulent infections;gene;0;1
20;agi/;s. intermedius;gene;0;3
21;agi/;scavenger receptor cysteine-rich domains;gene;0;1
22;agi/;sortase a-deficient mutant;gene;0;1
23;agi/;srcrs;gene;0;1
24;agi/;srta;gene;0;1
25;agi/;streptococcus intermedius;gene;0;3
26;agi/;v(pas);gene;0;1
27;agi/ii of;agi/;gene;0;1
28;agi/ii of;antigen i/ii;gene;0;1
29;agi/ii of;c(123)(pas);gene;0;1
30;agi/ii of;c. albicans;gene;0;2
31;agi/ii of;candida albicans;gene;0;2
32;agi/ii of;cftr;gene;0;1
33;agi/ii of;cysteine;gene;0;1
34;agi/ii of;cystic fibrosis;gene;0;1
35;agi/ii of;cystic fibrosis lungs;gene;0;1
36;agi/ii of;dev-igg domains;gene;0;1
37;agi/ii of;fibrinogen;gene;0;2
38;agi/ii of;frd1;gene;0;1
39;agi/ii of;gp340;gene;0;1
40;agi/ii of;lung alveolar glycoprotein 340;gene;0;1
41;agi/ii of;lung alveolar protein gp340;gene;0;1
42;agi/ii of;p. aeruginosa;gene;0;2
43;agi/ii of;pas;gene;0;2
44;agi/ii of;patients;gene;0;1
45;agi/ii of;pseudomonas aeruginosa;gene;0;2
46;agi/ii of;purulent infections;gene;0;1
47;agi/ii of;s. intermedius;gene;0;3
48;agi/ii of;scavenger receptor cysteine-rich domains;gene;0;1
49;agi/ii of;sortase a-deficient mutant;gene;0;1
50;agi/ii of;srcrs;gene;0;1
51;agi/ii of;srta;gene;0;1
52;agi/ii of;streptococcus intermedius;gene;0;3
53;agi/ii of;v(pas);gene;0;1
54;airway epithelial cell lines;cell lines;cell_line;0;1
55;airway epithelial cell lines;cftr;cell_line;0;2
56;airway epithelial cell lines;chronic obstructive pulmonary disease;cell_line;0;1
57;airway epithelial cell lines;copd;cell_line;0;1
58;airway epithelial cell lines;cystic fibrosis;cell_line;0;2
59;airway epithelial cell lines;cystic fibrosis transmembrane conductance regulator (cftr)-mutated;cell_line;0;1
60;airway epithelial cell lines;cystic fibrosis transmembrane conductance regulator (cftr)-mutated epithelial cells;cell_line;0;1
61;airway epithelial cell lines;cystic fibrosis transmembrane regulator;cell_line;0;1
62;airway epithelial cell lines;il-17;cell_line;0;1
63;airway epithelial cell lines;il-22;cell_line;0;1
64;airway epithelial cell lines;il-6;cell_line;0;4
65;airway epithelial cell lines;inflammation;cell_line;0;1
66;airway epithelial cell lines;interleukin (il)-6;cell_line;0;1
67;airway epithelial cell lines;lasb;cell_line;0;5
68;airway epithelial cell lines;mice;cell_line;0;3
69;airway epithelial cell lines;p. aeruginosa;cell_line;0;3
70;airway epithelial cell lines;pao1;cell_line;0;2
71;airway epithelial cell lines;pseudomonas aeruginosa;cell_line;0;3
72;airway epithelial cell lines;stat3;cell_line;0;1
73;airway epithelial cell lines;trappin-2;cell_line;0;3
74;airway epithelial cell lines;ventilator-associated pneumonia;cell_line;0;1
75;airway epithelial cell lines;wt-pao1;cell_line;0;1
76;alkaline protease;apra;gene;0;2
77;alkaline protease;cftr;gene;0;2
78;alkaline protease;cl-;gene;0;4
79;alkaline protease;cystic fibrosis;gene;0;1
80;alkaline protease;p. aeruginosa;gene;0;10
81;alkaline protease;patients;gene;0;2
82;alkaline protease;phe508del-cftr;gene;0;2
83;alkaline protease;pseudomonas aeruginosa;gene;0;1
84;alkaline protease;tobramycin;gene;0;8
85;amino acid;amino acid;drug;0;2
86;amino acid;amino acid receptors pcta, b and c;drug;0;2
87;amino acid;amino acids;drug;0;2
88;amino acid;cftr;drug;0;2
89;amino acid;dead cells;drug;0;2
90;amino acid;epithelial cells;drug;0;2
91;amino acid;gfp;drug;0;2
92;amino acid;glucose;drug;0;2
93;amino acid;pak;drug;0;6
94;amino acid;pao1;drug;0;10
95;amino acid;propidium iodide;drug;0;2
96;amino acid;pseudomonas aeruginosa;drug;0;4
97;amino acid receptors pcta, b and c;amino acid;gene;0;2
98;amino acid receptors pcta, b and c;amino acids;gene;0;1
99;amino acid receptors pcta, b and c;cftr;gene;0;1
100;amino acid receptors pcta, b and c;dead cells;gene;0;1
101;amino acid receptors pcta, b and c;epithelial cells;gene;0;1
102;amino acid receptors pcta, b and c;gfp;gene;0;1
103;amino acid receptors pcta, b and c;glucose;gene;0;1
104;amino acid receptors pcta, b and c;pak;gene;0;3
105;amino acid receptors pcta, b and c;pao1;gene;0;5
106;amino acid receptors pcta, b and c;propidium iodide;gene;0;1
107;amino acid receptors pcta, b and c;pseudomonas aeruginosa;gene;0;2
108;amino acids;amino acid;drug;0;2
109;amino acids;amino acid receptors pcta, b and c;drug;0;1
110;amino acids;cftr;drug;0;1
111;amino acids;dead cells;drug;0;1
112;amino acids;epithelial cells;drug;0;1
113;amino acids;gfp;drug;0;1
114;amino acids;glucose;drug;0;1
115;amino acids;pak;drug;0;3
116;amino acids;pao1;drug;0;5
117;amino acids;propidium iodide;drug;0;1
118;amino acids;pseudomonas aeruginosa;drug;0;2
119;antigen i/ii;agi/;gene;0;1
120;antigen i/ii;agi/ii of;gene;0;1
121;antigen i/ii;c(123)(pas);gene;0;1
122;antigen i/ii;c. albicans;gene;0;2
